x,WT,lak
12.055,53.243,16.41
13.836,51.294,15.528
15.205,51.304,14.847
24.521,52.418,12.795
26.986,51.378,23.851
28.904,49.193,28.777
29.452,48.069,16.538
29.589,47.731,17.143
31.507,36.804,26.889
31.918,44.969,28.988
33.973,29.068,38.763
34.795,40.959,42.098
34.932,39.13,42.603
36.712,40.695,46.584
36.849,41.739,46.492
37.26,49.565,45.349
37.534,46.031,14.534
38.493,38.137,15.937
39.589,44.76,13.665
39.863,46.46,12.518
40.137,45.593,30.969
40.274,43.657,31.18
40.548,36.894,28.268
40.959,32.05,22.328
41.096,43.975,20.319
41.644,37.516,13.862
41.781,37.15,13.54
43.151,37.963,35.031
43.425,37.764,35.094
45.205,32.05,29.899
46.438,40.248,24.26
46.575,27.152,23.597
46.849,23.727,22.26
48.767,22.899,13.168
49.726,26.087,9.649
51.096,35.463,7.507
51.233,38.509,7.708
51.37,40.001,8.323
52.055,37.059,10.974
53.836,36.109,12.795
54.521,35.776,13.367
67.808,29.686,19.752
76.027,25.839,10.559
81.918,23.727,1.915
85.616,29.938,1.486
